"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"UBE2CP2","UBE2CP4","Y-RNA.198","RP11-540B6.2","UPF3BP1","AC105342.1","RP11-404P21.9","AC073310.4","RP11-456J20.1","Metazoa-SRP.1","U3.3","RP11-110I1.5","CENPUP1","RP11-285G1.14","IGBP1P4","RP11-137D19.1","RPL29P19","RP11-63A23.2","XXbac-B444P24.13","RPS6P12"
"RP11-389C8.2","CASP12","RP11-679B17.2","RP11-430E17.1","RP1","RP11-788M5.4","RNU6-1133P","LINC00705","RP11-663P9.1","RP11-1007G5.2","MYCT1","RP11-527N22.1","RBMY2EP","RNU6-1329P","C2CD4B","MTND6P3","RNU6-82P","SLC22A20","RP11-561C5.4","RP11-340I6.4"
"AC000067.1","RP3-512B11.3","CCL15","CTD-2536I1.3","OBP2B","SLC39A2","RP11-470F18.1","OR51E2","RP11-80H8.4","CTD-2171N6.1","SDHCP4","FZD10-AS1","MSNP1","MAGEA12","LINC00973","RP11-264E20.2","RP11-756G12.1","LINC00460","RN7SL138P","RP4-668J24.2"
"CD1E","RP11-960L18.1","MEIKIN","CD1C","AP001257.1","LINC01506","RP11-8L8.2","IFNB1","RP11-443B7.3","PPBP","CD1A","RETN","AC004906.3","SIRPB1","IGLV3-25","AC064834.3","RNASE3","RP11-138I18.2","CD300C","CTB-41I6.1"
"HBG1","AF003625.3","RP5-1007F24.1","GPR50-AS1","RP11-1072C15.6","TPTE2P1","RP11-205M3.1","RP11-1E22.1","SIX3-AS1","RP11-848D3.5","REG1A","NPPB","GLYCTK-AS1","RP11-325K4.2","CAMP","CMB9-94B1.2","RP11-34F20.7","RP11-599J14.2","PFN3","FER1L4"
"RP11-298D21.2","RP11-338K13.1","NKX2-8","CTD-2034I21.1","RP11-231E4.3","FFAR1","RP11-62L18.3","AC009110.1","KCNQ1DN","RP11-26M5.3","AC093159.1","RP11-1023P17.2","IFNA2","GOLGA6L6","AC103563.9","FXYD4","SMIM6","RP11-953B20.1","RP11-353N14.4","GPR62"
"KB-7G2.9","RNU6-367P","KRTAP3-3","RP11-63B19.1","MIR4307HG","CTB-3M24.1","MIR5002","IGKV1D-8","RP11-99A1.2","AP000469.2","RP11-577B7.1","AL365202.1","USP17L1","CTD-2579N5.3","RP11-85I17.2","Y-RNA.131","CTD-2534I21.9","RP11-626I20.3","RP11-91P24.5","AC009227.3"
"IGLV1-40","TRGC1","RP11-357H14.17","IGKV1-12","XCL2","EOMES","FASLG","SH2D1A","KRT1","RP11-351M16.4","GZMH","AC002331.1","PAGE5","IGLV3-1","SIT1","KLK1","GZMK","IGLL5","IGHV4-39","ICOS"
"IL9","AC012456.3","RP11-150O12.5","RP5-1065P14.2","AC012456.4","GK2","RP11-196I18.4","CTC-458G6.4","RP11-203P2.2","CTD-2233C11.2","AC113331.9","TMEM174","RP11-96B2.1","CTD-2170G1.2","LINC01069","RP11-361I14.2","RP11-31E13.2","CTD-2363C16.2","RP11-96G10.1","RP11-439I14.2"
"RP11-30G8.1","LINC00898","RP11-482E14.2","AC012506.3","AC093390.1","RP4-809F18.2","RP5-1028L10.1","LINC01493","RP4-564O4.1","RP11-565N2.2","RP11-20L19.1","AC116609.1","RP3-446N13.1","LL22NC03-13G6.2","RP11-51G5.1","GABRG3-AS1","RP11-446F3.2","RP11-482E14.1","HSD3B1","KRTAP5-2"
"RP11-230C9.3","ISL1","RP11-379F12.4","PAEP","BARX1-AS1","RP11-84A19.3","RP11-25O3.1","KRTAP4-4","FAM74A7","LA16c-380H5.3","LL22NC03-N95F10.1","KRT75","LINC00410","RP11-6N13.4","LINC01602","LINC00322","RP11-503C24.1","ANKRD1","KB-1930G5.3","CTC-493L21.2"
"LHX5","MYH7","PCDHGA9","SLC17A8","NPAS4","NPPC","RP11-357K6.1","PCDHGA10","EGR4","SCG2","CHGB","RSRC2","ARL4D","NECAP1","DUSP9","MSMO1","PNMA1","TSPYL4","FGFBP3","SRSF6"
"RP1-63M2.5","RP11-485G7.6","CTD-2318H23.1","RP11-753B14.1","CASC23","AC020956.3","RP11-616L12.1","DIAPH3-AS2","RP11-273B19.2","TRDV2","C10orf62","CTD-2014E2.6","RP11-763B22.6","RP1-117B12.4","RP11-485O10.2","AC013401.1","RP11-501C14.5","RP11-273B19.1","DIAPH3-AS1","AC012123.1"
"RAB5A","EIF4E","STAU1","IAH1","PABPC4","SNW1","CCL2","CCL4L2","TSG101","NOL7","IFRD1","CHP1","CCL3L3","RNASET2","ZNF32","PIH1D1","CCL3","SERP1","FAM96A","RAB7A"
